istasyon_adi;enlem;boylam;bolge;peron_adet
İSTANBUL YOLU KAMPÜS A GİRİŞ;38.02009554;32.51484549;Selçuklu;19
İSTANBUL YOLU FARABİ HASTANESİ KAVŞAĞI;37.97904658;32.51715767;Selçuklu;17
DOÇ.DR. HALİL ÜRÜN CAD. SELÇUKLU BELEDİYE ÖNÜ;37.94606286;32.50160921;Selçuklu;20
İSTANBUL YOLU AYDINLIK EVLER KÖPRÜLÜ KAVŞAGI;37.90419831;32.49549468;Selçuklu;24
BEYŞEHİR CAD.SİLLE YOLU KAVŞAĞI;37.89259692;32.47810468;Selçuklu;12
BEYŞEHİR ÇEVRE YOLU TIP FAKÜLTESİ YANI;37.87463861;32.42856784;Meram;10
YENİ MERAM CAD.ÇAY BAHÇESİ ÖNÜ;37.85319336;32.42264322;Meram;25
YENİ MERAM CAD.MERAM EĞİTİM ARAŞTIRMA HASTANESİ ÖNÜ;37.86173097;32.44542406;Meram;15
S.ALİ KEMAL CAD.MELİKŞAH PARKI YANI;37.87082239;32.45872417;Meram;18
A.ÖZCAN CAD.ZAFER İ.Ö.O ÖNÜ-KOMEK;37.84870176;32.49903456;Meram;10
ALAADDİN KAP CADDESİ.K.T.O ÖNÜ;37.86530807;32.53793527;Karatay;20
PİRİESAT CAD.KARATAY BELEDİYESİ KARŞISI;37.86584654;32.50202088;Karatay;12
LARENDE CAD.BALIK HALİ ÖNÜ;37.86584659;32.4890287;Meram;17
FERİTPAŞA CAD D.S.İ ÖNÜ;37.86712108;32.48416678;Meram;20
İSTASYON CAD.GAR KARŞISI;37.86636844;32.47733794;Meram;10
KAZIM KARABEKİR CAD. CAMLIKÖŞK ÖNÜ ZAFER;37.87088885;32.49028279;Meram;18
ALAADDİN BULVARI İŞ BANKASI ÖNÜ;37.87212209;32.49440484;Meram;10
MEVLANA CAD.KAYALIPARK VALİLİK ÖNÜ;37.87151944;32.49802432;Meram;10
MEVLANA CAD.HÜKÜMET MEYDANI ŞERAFETTİN CAMİ ÖNÜ;37.87208545;32.49886631;Meram;19
KARATAY MÜZESİ KARŞISI;37.87477899;32.4934799;Selçuklu;17
ABDULEZELPAŞA CAD.KÜLTÜRPARK A GİRİŞİ;37.87423401;32.49038645;Selçuklu;23
KEMERLİ CAD.MALİYE KARŞISI;37.87501044;32.48512823;Selçuklu;16
VATAN CADDESİ BÜYÜKŞEHİR BELEDİYESİ ÖNÜ;37.87695565;32.48701098;Selçuklu;28
MEHMET HULUSİ BAYBAL CAD.BERA OTEL KARŞISI;37.87770221;32.48322764;Selçuklu;10
RAUF DENKTAŞ CAD.NENE HATUN PARK ÖNÜ;37.88253947;32.48800939;Selçuklu;14
ANKARA CAD.EMNİYET MÜDÜRLÜĞÜ KARŞISI;37.88657254;32.49910612;Karatay;20
KULE CAD.KULE SİTE KARŞISI;37.88832121;32.49377034;Selçuklu;18
ANTALYA ÇEVRE YOLU KARAMAN YOLU KAVŞAĞI;37.82895988;32.51672503;Meram;30
BEYŞEHİR CAD.BAŞKENT HASTANESİ KARŞISI;37.88483915;32.4581258;Selçuklu;14
ABDULEZELPAŞA CAD.MARAŞEL İ.Ö.O YANI;37.87210077;32.48509697;Selçuklu;12
BÜYÜK HİZMET CADDESİ VE OSMANLI CADDESİ KESİŞİMİ;38.01005633;32.52690445;Selçuklu;17
ASLANLI KIŞLA CAD. MEVLANA KÜLTÜR MERKEZİ;37.86905;32.513446;Karatay;10
CEMİL ÇİÇEK CAD.ADLİYE ÖNÜ PARK GİRİŞİ;37.86267197;32.54314977;Karatay;10
İSTANBUL YOLU OTOGAR MEDAŞ ÖNÜ;37.949606;32.513338;Selçuklu;20
AZERBEYCAN CAD.TAPU KADASTRO BÖLGESİ;37.86058764;32.47690373;Meram;8
YENİ MERAM CAD. EĞİTİM FAKÜLTESİ ÖNÜ;37.864353;32.45357433;Meram;22
KADIN DOĞUM HASTANESİ;37.9107576;32.500413;Selçuklu;19
GENÇLİK MERKEZİ ÖNÜ;38.00937327;32.52063488;Selçuklu;27
MESAJ- OSMANLI CADDESİ KESİŞİMİ;38.01011699;32.52260087;Selçuklu;12
HOCA HASAN CAMİ GEDAVET PARKI;37.87047751;32.48617664;Meram;12
